sepal_length,sepal_width,petal_length,petal_width,species,petal_sepal_ratio
5.2,2.7,3.9,1.4,versicolor,0.75
5.0,2.0,3.5,1.0,versicolor,0.7
5.9,3.0,4.2,1.5,versicolor,0.711864406779661
6.0,2.2,4.0,1.0,versicolor,0.6666666666666666
6.1,2.9,4.7,1.4,versicolor,0.7704918032786886
5.6,2.9,3.6,1.3,versicolor,0.6428571428571429
6.7,3.1,4.4,1.4,versicolor,0.6567164179104478
5.6,3.0,4.5,1.5,versicolor,0.8035714285714286
5.8,2.7,4.1,1.0,versicolor,0.7068965517241379
6.2,2.2,4.5,1.5,versicolor,0.7258064516129032
5.6,2.5,3.9,1.1,versicolor,0.6964285714285715
5.9,3.2,4.8,1.8,versicolor,0.8135593220338982
6.1,2.8,4.0,1.3,versicolor,0.6557377049180328
6.3,2.5,4.9,1.5,versicolor,0.7777777777777779
6.1,2.8,4.7,1.2,versicolor,0.7704918032786886
6.4,2.9,4.3,1.3,versicolor,0.6718749999999999
6.6,3.0,4.4,1.4,versicolor,0.6666666666666667
6.8,2.8,4.8,1.4,versicolor,0.7058823529411765
6.7,3.0,5.0,1.7,versicolor,0.7462686567164178
6.0,2.9,4.5,1.5,versicolor,0.75
5.7,2.6,3.5,1.0,versicolor,0.6140350877192983
5.5,2.4,3.8,1.1,versicolor,0.6909090909090909
5.5,2.4,3.7,1.0,versicolor,0.6727272727272727
5.8,2.7,3.9,1.2,versicolor,0.6724137931034483
6.0,2.7,5.1,1.6,versicolor,0.85
5.4,3.0,4.5,1.5,versicolor,0.8333333333333333
6.0,3.4,4.5,1.6,versicolor,0.75
6.7,3.1,4.7,1.5,versicolor,0.7014925373134329
6.3,2.3,4.4,1.3,versicolor,0.6984126984126985
5.6,3.0,4.1,1.3,versicolor,0.7321428571428571
5.5,2.5,4.0,1.3,versicolor,0.7272727272727273
5.5,2.6,4.4,1.2,versicolor,0.8
6.1,3.0,4.6,1.4,versicolor,0.7540983606557377
5.8,2.6,4.0,1.2,versicolor,0.6896551724137931
5.0,2.3,3.3,1.0,versicolor,0.6599999999999999
5.6,2.7,4.2,1.3,versicolor,0.7500000000000001
5.7,3.0,4.2,1.2,versicolor,0.7368421052631579
5.7,2.9,4.2,1.3,versicolor,0.7368421052631579
6.2,2.9,4.3,1.3,versicolor,0.6935483870967741
5.1,2.5,3.0,1.1,versicolor,0.5882352941176471
5.7,2.8,4.1,1.3,versicolor,0.719298245614035
6.3,3.3,6.0,2.5,virginica,0.9523809523809524
5.8,2.7,5.1,1.9,virginica,0.8793103448275862
7.1,3.0,5.9,2.1,virginica,0.8309859154929579
6.3,2.9,5.6,1.8,virginica,0.8888888888888888
6.5,3.0,5.8,2.2,virginica,0.8923076923076922
7.6,3.0,6.6,2.1,virginica,0.868421052631579
4.9,2.5,4.5,1.7,virginica,0.9183673469387754
7.3,2.9,6.3,1.8,virginica,0.863013698630137
6.7,2.5,5.8,1.8,virginica,0.8656716417910447
7.2,3.6,6.1,2.5,virginica,0.8472222222222221
6.5,3.2,5.1,2.0,virginica,0.7846153846153846
6.4,2.7,5.3,1.9,virginica,0.8281249999999999
6.8,3.0,5.5,2.1,virginica,0.8088235294117647
5.7,2.5,5.0,2.0,virginica,0.8771929824561403
5.8,2.8,5.1,2.4,virginica,0.8793103448275862
6.4,3.2,5.3,2.3,virginica,0.8281249999999999
6.5,3.0,5.5,1.8,virginica,0.8461538461538461
7.7,3.8,6.7,2.2,virginica,0.8701298701298701
7.7,2.6,6.9,2.3,virginica,0.8961038961038962
6.0,2.2,5.0,1.5,virginica,0.8333333333333334
6.9,3.2,5.7,2.3,virginica,0.8260869565217391
5.6,2.8,4.9,2.0,virginica,0.8750000000000001
7.7,2.8,6.7,2.0,virginica,0.8701298701298701
6.3,2.7,4.9,1.8,virginica,0.7777777777777779
6.7,3.3,5.7,2.1,virginica,0.8507462686567164
7.2,3.2,6.0,1.8,virginica,0.8333333333333333
6.2,2.8,4.8,1.8,virginica,0.7741935483870968
6.1,3.0,4.9,1.8,virginica,0.8032786885245903
6.4,2.8,5.6,2.1,virginica,0.8749999999999999
7.2,3.0,5.8,1.6,virginica,0.8055555555555555
7.4,2.8,6.1,1.9,virginica,0.8243243243243242
7.9,3.8,6.4,2.0,virginica,0.810126582278481
6.4,2.8,5.6,2.2,virginica,0.8749999999999999
6.3,2.8,5.1,1.5,virginica,0.8095238095238095
6.1,2.6,5.6,1.4,virginica,0.9180327868852459
7.7,3.0,6.1,2.3,virginica,0.7922077922077921
6.3,3.4,5.6,2.4,virginica,0.8888888888888888
6.4,3.1,5.5,1.8,virginica,0.859375
6.0,3.0,4.8,1.8,virginica,0.7999999999999999
6.9,3.1,5.4,2.1,virginica,0.782608695652174
6.7,3.1,5.6,2.4,virginica,0.835820895522388
6.9,3.1,5.1,2.3,virginica,0.7391304347826086
5.8,2.7,5.1,1.9,virginica,0.8793103448275862
6.8,3.2,5.9,2.3,virginica,0.8676470588235294
6.7,3.3,5.7,2.5,virginica,0.8507462686567164
6.7,3.0,5.2,2.3,virginica,0.7761194029850746
6.3,2.5,5.0,1.9,virginica,0.7936507936507937
6.5,3.0,5.2,2.0,virginica,0.8
6.2,3.4,5.4,2.3,virginica,0.8709677419354839
5.9,3.0,5.1,1.8,virginica,0.8644067796610169
